variable;unit;tier;description;comment;piam_variable;piam_unit;piam_factor;internal_comment;source;interpolation
Terrestrial Biodiversity|Mean Species Abundance;%;3;Terrestrial biodiversity measured in Mean Species Abundance (MSA);An indicator of naturalness or biodiversity intactness. It is defined as the mean abundance of original species relative to their abundance in undisturbed ecosystems. An MSA (Mean Species Abundance) of 0 % means a completely destructed ecosystem, with no original species remaining. An MSA of 100 % indicates an undisturbed ecosystem, in which species abundance is comparable to the natural state.;;;;;;
Terrestrial Biodiversity|Mean Species Abundance|Plants;%;3;Terrestrial biodiversity of plant species measured in Mean Species Abundance (MSA);An indicator of naturalness or biodiversity intactness. It is defined as the mean abundance of original species relative to their abundance in undisturbed ecosystems. An MSA (Mean Species Abundance) of 0 % means a completely destructed ecosystem, with no original species remaining. An MSA of 100 % indicates an undisturbed ecosystem, in which species abundance is comparable to the natural state.;;;;;;
Terrestrial Biodiversity|Mean Species Abundance|Vertebrates;%;3;Terrestrial biodiversity of vertebrate species measured in Mean Species Abundance (MSA);An indicator of naturalness or biodiversity intactness. It is defined as the mean abundance of original species relative to their abundance in undisturbed ecosystems. An MSA (Mean Species Abundance) of 0 % means a completely destructed ecosystem, with no original species remaining. An MSA of 100 % indicates an undisturbed ecosystem, in which species abundance is comparable to the natural state.;;;;;;
Terrestrial Biodiversity|Shannon Crop Diversity Index;unitless;3;Crop diversity measured by the Shannon index accounting for crop richness and abundance;The Shannon index is a an index of crop diversity. Both the number of species and their distribution are included in the calculation. Higher values indicate higher crop diversity. Typical values generally range between 1.5 and 3.5.;Biodiversity|Shannon crop area diversity index;unitless;;mapping taken from SHAPE;M;
Trade|Agriculture;million t DM/yr;2;Net export of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;Trade|Net-Trade|+|Crops;Mt DM/yr;;;M;
Trade|Agriculture;million t DM/yr;2;Net export of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;Trade|Net-Trade|+|Bioenergy crops;Mt DM/yr;;;M;
Trade|Agriculture;million t DM/yr;2;Net export of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;Trade|Net-Trade|+|Livestock products;Mt DM/yr;;;M;
Trade|Agriculture;million t DM/yr;2;Net export of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;Trade|Net-Trade|+|Crop residues;Mt DM/yr;;;M;
Trade|Agriculture|Crops;million t DM/yr;2;Net export of crops;;Trade|Net-Trade|+|Crops;Mt DM/yr;;;M;
Trade|Agriculture|Livestock;million t DM/yr;2;Net export of livestock products (excluding fish);;Trade|Net-Trade|+|Livestock products;Mt DM/yr;;;M;
Trade|Forestry|Roundwood;million m3/yr;2;Net export of roundwood;;Timber|Volumetric|Net-Trade|+|Roundwood;Mm3/yr;;;M;
Trade|Forestry|Roundwood|Industrial Roundwood;million m3/yr;2;Net export of industrial roundwood;;Timber|Volumetric|Net-Trade|Roundwood|+|Industrial roundwood;Mm3/yr;;;M;
Trade|Forestry|Roundwood|Industrial Roundwood;million m3/yr;2;Net export of industrial roundwood;;Timber|Volumetric|Net-Trade|Roundwood|+|Timber for construction;Mm3/yr;;;M;
Trade|Forestry|Roundwood|Wood Fuel;million m3/yr;2;Net export of wood fuel;;Timber|Volumetric|Net-Trade|Roundwood|+|Wood fuel;Mm3/yr;;;M;
Water Ecosystems|Wetlands|Peatlands;million ha;2;Area of peatlands;;Resources|Peatland;million ha;;;M;
Water Ecosystems|Wetlands|Peatlands|Drained;million ha;2;Area of drained peatlands;;Resources|Peatland|+|Degraded;million ha;;;M;
Water Ecosystems|Wetlands|Peatlands|Intact;million ha;2;Area of intact peatlands;;Resources|Peatland|+|Intact;million ha;;;M;
Water Ecosystems|Wetlands|Peatlands|Rewetted;million ha;2;Area of rewetted peatlands;;Resources|Peatland|+|Rewetted;million ha;;;M;
Water Withdrawal;km3/yr;;Total water withdrawals;;Resources|Water|Withdrawal|Non-agriculture|+|electricity;km3/yr;;;M;
Water Withdrawal;km3/yr;;Total water withdrawals;;Resources|Water|Withdrawal|Agriculture;km3/yr;;;M;
Water Withdrawal;km3/yr;;Total water withdrawals;;Resources|Water|Withdrawal|Non-agriculture|+|manufacturing;km3/yr;;;M;
Water Withdrawal;km3/yr;;Total water withdrawals;;Resources|Water|Withdrawal|Non-agriculture|+|domestic;km3/yr;;;M;
Water Withdrawal|Electricity;km3/yr;2;Total water withdrawals for total electricity generation;;Resources|Water|Withdrawal|Non-agriculture|+|electricity;km3/yr;;;M;
Water Withdrawal|Industrial Water;km3/yr;;Water withdrawals for the industrial and manufacturing sector;;Resources|Water|Withdrawal|Non-agriculture|+|manufacturing;km3/yr;;;M;
Water Withdrawal|Irrigation;km3/yr;2;Water withdrawal for irrigation;;Resources|Water|Withdrawal|Agriculture|Crops|+|Crops;km3/yr;;;M;
Water Withdrawal|Irrigation;km3/yr;2;Water withdrawal for irrigation;;Resources|Water|Withdrawal|Agriculture|Crops|+|Forage;km3/yr;;;M;
Water Withdrawal|Irrigation;km3/yr;2;Water withdrawal for irrigation;;Resources|Water|Withdrawal|Agriculture|Crops|+|Bioenergy crops;km3/yr;;;M;
Water Withdrawal|Livestock;km3/yr;3;Water withdrawals for livestock;;Resources|Water|Withdrawal|Agriculture|Livestock|+|Livestock products;km3/yr;;;M;
Water Withdrawal|Municipal Water;km3/yr;;Water withdrawals for the municipal sector including for residential and commercial buildings and municipal irrigation;;Resources|Water|Withdrawal|Non-agriculture|+|domestic;km3/yr;;;M;
Yield|Cropland|Cereals;t DM/ha/yr;2;Yield of cereals (maize, rice, temperate cereals and tropical cereals), calculated as production (dry matter) divided by physical cropland area;Yields in FAOSTAT are reported on wet matter basis for harvested cropland area;Productivity|Yield|Crops|Cereals;t DM/ha;;;M;
Yield|Cropland|Cereals [Harvested Area];t DM/ha/yr;2;Yield of cereals (maize, rice, temperate cereals and tropical cereals), calculated as production (dry matter) divided by harvested cropland area;Yields in FAOSTAT are reported on wet matter basis for harvested cropland area;Productivity|Yield by harvested area|Crops|Cereals;t DM/ha;;;M;
Yield|Cropland|Energy Crops;t DM/ha/yr;2;Yield of second-generation bioenergy crops (short rotation grasses, short rotation trees), calculated as production (dry matter) divided by physical cropland area;Yields in FAOSTAT are reported on wet matter basis for harvested cropland area;Productivity|Yield|Bioenergy crops;t DM/ha;;;M;
Yield|Cropland|Energy Crops [Harvested Area];t DM/ha/yr;2;Yield of second-generation bioenergy crops (short rotation grasses, short rotation trees), calculated as production (dry matter) divided by harvested cropland area;Yields in FAOSTAT are reported on wet matter basis for harvested cropland area;Productivity|Yield by harvested area|Bioenergy crops;t DM/ha;;;M;
Yield|Cropland|Oil Crops;t DM/ha/yr;2;Yield of oil crops (cotton seed, groundnuts, oilpalms, other oil crops incl rapeseed, soybean, sunflower), calculated as production (dry matter) divided by physical cropland area;Yields in FAOSTAT are reported on wet matter basis for harvested cropland area;Productivity|Yield|Crops|Oil crops;t DM/ha;;;M;
Yield|Cropland|Oil Crops [Harvested Area];t DM/ha/yr;2;Yield of oil crops (cotton seed, groundnuts, oilpalms, other oil crops incl rapeseed, soybean, sunflower), calculated as production (dry matter) divided by harvested cropland area;Yields in FAOSTAT are reported on wet matter basis for harvested cropland area;Productivity|Yield by harvested area|Crops|Oil crops;t DM/ha;;;M;
Yield|Cropland|Other Crops;t DM/ha/yr;2;Yield of other crops (fruits, vegetables, nuts, potatoes, pulses, tropical roots), calculated as production (dry matter) divided by physical cropland area;Yields in FAOSTAT are reported on wet matter basis for harvested cropland area;Productivity|Yield|Crops|Other crops;t DM/ha;;;M;
Yield|Cropland|Other Crops [Harvested Area];t DM/ha/yr;2;Yield of other crops (fruits, vegetables, nuts, potatoes, pulses, tropical roots), calculated as production (dry matter) divided by harvested cropland area;Yields in FAOSTAT are reported on wet matter basis for harvested cropland area;Productivity|Yield by harvested area|Crops|Other crops;t DM/ha;;;M;
Yield|Cropland|Sugar Crops;t DM/ha/yr;2;Yield of sugar crops (sugar beet, sugar cane), calculated as production (dry matter) divided by physical cropland area;Yields in FAOSTAT are reported on wet matter basis for harvested cropland area;Productivity|Yield|Crops|Sugar crops;t DM/ha;;;M;
Yield|Cropland|Sugar Crops [Harvested Area];t DM/ha/yr;2;Yield of sugar crops (sugar beet, sugar cane), calculated as production (dry matter) divided by harvested cropland area;Yields in FAOSTAT are reported on wet matter basis for harvested cropland area;Productivity|Yield by harvested area|Crops|Sugar crops;t DM/ha;;;M;
