variable;unit;tier;description;comment;weight;piam_variable;piam_unit;piam_factor;internal_comment;source;interpolation
Final Energy|Commercial|Liquids|Gas;EJ/yr;2;Final energy consumption by the commercial sector of liquid fuels from fossil methane ('natural gas');;;;;;;;
Final Energy|Commercial|Liquids|Hydrogen;EJ/yr;2;Final energy consumption by the commercial sector of liquid fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies);;;;;;;;
Final Energy|Commercial|Liquids|Oil;EJ/yr;2;Final energy consumption by the commercial sector of liquid fuels from refined crude oil;;;;;;;;
Final Energy|Commercial|Liquids|Other;EJ/yr;2;Final energy consumption by the commercial sector of sources that do not fit any other category;;;;;;;;
Final Energy|Commercial|Other;EJ/yr;2;Final energy consumption by the commercial sector of other energy sources;;;;;;;;
Final Energy|Commercial|Solids;EJ/yr;1;Final energy consumption by the commercial sector of solid energy carriers, including coal, briquettes, coke, and wood pellets;;;;;;;;
Final Energy|Commercial|Solids|Biomass;EJ/yr;2;Final energy consumption by the commercial sector of solid biomass (e.g., commercial charcoal, wood chips, wood pellets), not including traditional bioenergy;;;;;;;;
Final Energy|Commercial|Solids|Coal;EJ/yr;2;Final energy consumption by the commercial sector of coal, lignite, and derived products (e.g., coke, briquettes);;;;;;;;
Final Energy|Commercial|Water;EJ/yr;2;Energy consumption for water desalination, extraction, and transfer;;;;;;;;
Final Energy|Commercial|Water|Desalination;EJ/yr;3;Energy consumption for water desalination;;;;;;;;
Final Energy|Commercial|Water|Groundwater Extraction;EJ/yr;3;Energy consumption for groundwater extraction;;;;;;;;
Final Energy|Commercial|Water|Surface Water Extraction;EJ/yr;3;Energy consumption for surface water extraction;;;;;;;;
Final Energy|Commercial|Water|Transfer;EJ/yr;3;Energy consumption for water transfers;;;;;;;;
Final Energy|Electricity;EJ/yr;1;Final energy consumption of electricity (including on-site solar PV), excluding transmission/distribution losses;;;FE|+|Electricity;EJ/yr;;mapping taken from NAVIGATE, NAVIGATE category: energy (final);R;
Final Energy|Gases;EJ/yr;1;Final energy fuel consumption of gaseous fuels including natural gas and biogas, not including hydrogen;;;FE|+|Gases;EJ/yr;;mapping taken from NAVIGATE, NAVIGATE category: energy (final);R;
Final Energy|Gases|Biomass;EJ/yr;2;Final energy fuel consumption of gaseous fuels from biogenic sources, mainly biogas;;;FE|Gases|+|Biomass;EJ/yr;;mapping taken from NAVIGATE, NAVIGATE category: energy (final);R;
Final Energy|Gases|Coal;EJ/yr;2;Final energy fuel consumption of gaseous fuels from fossil coal gasification;;;;;;;;
Final Energy|Gases|Electricity;EJ/yr;2;Final energy fuel consumption of gas from electricity i.e., 'power-to-gas' (if hydrogen is not explicitly modeled as an intermediate product);;;FE|Gases|+|Hydrogen;EJ/yr;;;R;
Final Energy|Gases|Fossil;EJ/yr;2;Final energy fuel consumption of gaseous fuels from fossil fuels including natural gas and coal;;;FE|Gases|+|Fossil;EJ/yr;;;R;
Final Energy|Gases|Gas;EJ/yr;2;Final energy fuel consumption of fossil methane ('natural gas');;;;;;;;
Final Energy|Gases|Hydrogen;EJ/yr;2;Final energy fuel consumption of gaseous fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies);;;;;;;;
Final Energy|Gases|Other;EJ/yr;2;Final energy fuel consumption of gaseous fuels from sources that do not fit any other category;;;;;;;;
Final Energy|Geothermal;EJ/yr;1;Final energy consumption of geothermal energy (e.g., from decentralized or small-scale geothermal heating systems) excluding geothermal heat pumps;;;;;;;;
Final Energy|Heat;EJ/yr;1;Final energy fuel consumption of centralized heat;;;FE|+|Heat;EJ/yr;;mapping taken from NAVIGATE, NAVIGATE category: energy (final);R;
Final Energy|Heat|Biomass;EJ/yr;2;Final energy fuel consumption of centralized heat from biomass, including biogas;;;;;;;;
Final Energy|Heat|Coal;EJ/yr;2;Final energy fuel consumption of centralized heat from coal;;;;;;;;
Final Energy|Heat|Electricity;EJ/yr;2;Final energy fuel consumption of centralized heat from electricity;;;;;;;;
Final Energy|Heat|Fossil;EJ/yr;2;Final energy fuel consumption of centralized heat from fossil fuels including natural gas, oil and coal;;;;;;;;
Final Energy|Heat|Gas;EJ/yr;2;Final energy fuel consumption of centralized heat from fossil methane ('natural gas');;;;;;;;
Final Energy|Heat|Geothermal;EJ/yr;2;Final energy fuel consumption of centralized heat from geothermal energy excluding ground-source heat pumps;;;;;;;;
Final Energy|Heat|Hydrogen;EJ/yr;2;Final energy fuel consumption of centralized heat from hydrogen;;;;;;;;
Final Energy|Heat|Nuclear;EJ/yr;2;Final energy fuel consumption of centralized heat from nuclear energy;;;;;;;;
Final Energy|Heat|Oil;EJ/yr;2;Final energy fuel consumption of centralized heat from refined crude oil;;;;;;;;
Final Energy|Heat|Other;EJ/yr;2;Final energy fuel consumption of centralized heat from sources that do not fit any other category;;;;;;;;
Final Energy|Heat|Solar;EJ/yr;2;Final energy fuel consumption of centralized heat from solar energy;;;;;;;;
Final Energy|Hydrogen;EJ/yr;1;Final energy fuel consumption of hydrogen;;;FE|+|Hydrogen;EJ/yr;;mapping taken from NAVIGATE, NAVIGATE category: energy (final);R;
Final Energy|Hydrogen|Biomass;EJ/yr;2;Final energy fuel consumption of hydrogen generated from biomass;;;;;;;;
Final Energy|Hydrogen|Coal;EJ/yr;2;Final energy fuel consumption of hydrogen from coal;;;;;;;;
Final Energy|Hydrogen|Electricity;EJ/yr;2;Final energy fuel consumption of hydrogen from electrolysis;;;;;;;;
Final Energy|Hydrogen|Fossil;EJ/yr;2;Final energy fuel consumption of hydrogen from fossil fuels including natural gas, oil and coal;;;;;;;;
Final Energy|Hydrogen|Gas;EJ/yr;2;Final energy fuel consumption of hydrogen from fossil methane ('natural gas');;;;;;;;
Final Energy|Hydrogen|Nuclear;EJ/yr;2;Final energy fuel consumption of hydrogen from nuclear energy (e.g. thermochemical water splitting with nuclear heat);;;;;;;;
Final Energy|Hydrogen|Oil;EJ/yr;2;Final energy fuel consumption of hydrogen from refined crude oil;;;;;;;;
Final Energy|Hydrogen|Other;EJ/yr;2;Final energy fuel consumption of hydrogen from other sources;;;;;;;;
Final Energy|Hydrogen|Solar;EJ/yr;2;Final energy fuel consumption of hydrogen from solar energy (e.g. thermochemical water splitting with solar heat);;;;;;;;
Final Energy|Industry;EJ/yr;1;Final energy consumption by the industrial sector excluding non-energy use (e.g.feedstocks);;;FE|w/o Non-energy Use|Industry;EJ/yr;;mapping taken from NAVIGATE, NAVIGATE category: energy (final);Rx;
Final Energy|Industry|Chemicals;EJ/yr;2;Final energy consumption by the chemicals sector excluding feedstocks;;;FE|w/o Non-energy Use|Industry|Chemicals;EJ/yr;;adapted manually, previously part of Non-Metallic Minerals, now separate as Cement;R;
Final Energy|Industry|Chemicals|Ammonia;EJ/yr;3;Final energy consumption by the ammonia sector;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Electricity;EJ/yr;3;Final energy consumption by the ammonia sector of electricity;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Gases;EJ/yr;3;Final energy consumption by the ammonia sector of gaseous fuels including natural gas and biogas, not including hydrogen;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Gases|Biomass;EJ/yr;4;Final energy consumption by the ammonia sector of gaseous fuels from biogenic sources, mainly biogas;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Gases|Coal;EJ/yr;4;Final energy consumption by the ammonia sector of gaseous fuels from fossil coal gasification;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Gases|Electricity;EJ/yr;4;Final energy consumption by the ammonia sector of gas from electricity i.e., 'power-to-gas' (if hydrogen is not explicitly modeled as an intermediate product);;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Gases|Fossil;EJ/yr;4;Final energy consumption by the ammonia sector of gaseous fuels from fossil fuels including natural gas and coal;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Gases|Gas;EJ/yr;4;Final energy consumption by the ammonia sector of fossil methane ('natural gas');;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Gases|Hydrogen;EJ/yr;4;Final energy consumption by the ammonia sector of gaseous fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies);;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Gases|Other;EJ/yr;4;Final energy consumption by the ammonia sector of gaseous fuels from sources that do not fit any other category;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Heat;EJ/yr;3;Final energy consumption by the ammonia sector of centralized heat;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Heat|Biomass;EJ/yr;4;Final energy consumption by the ammonia sector of centralized heat from biomass, including biogas;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Heat|Coal;EJ/yr;4;Final energy consumption by the ammonia sector of centralized heat from coal;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Heat|Electricity;EJ/yr;4;Final energy consumption by the ammonia sector of centralized heat from electricity;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Heat|Fossil;EJ/yr;4;Final energy consumption by the ammonia sector of centralized heat from fossil fuels including natural gas, oil and coal;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Heat|Gas;EJ/yr;4;Final energy consumption by the ammonia sector of centralized heat from fossil methane ('natural gas');;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Heat|Geothermal;EJ/yr;4;Final energy consumption by the ammonia sector of centralized heat from geothermal energy excluding ground-source heat pumps;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Heat|Hydrogen;EJ/yr;4;Final energy consumption by the ammonia sector of centralized heat from hydrogen;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Heat|Nuclear;EJ/yr;4;Final energy consumption by the ammonia sector of centralized heat from nuclear energy;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Heat|Oil;EJ/yr;4;Final energy consumption by the ammonia sector of centralized heat from refined crude oil;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Heat|Other;EJ/yr;4;Final energy consumption by the ammonia sector of centralized heat from sources that do not fit any other category;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Heat|Solar;EJ/yr;4;Final energy consumption by the ammonia sector of centralized heat from solar energy;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Hydrogen;EJ/yr;3;Final energy consumption by the ammonia sector of hydrogen;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Hydrogen|Biomass;EJ/yr;4;Final energy consumption by the ammonia sector of hydrogen generated from biomass;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Hydrogen|Coal;EJ/yr;4;Final energy consumption by the ammonia sector of hydrogen from coal;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Hydrogen|Electricity;EJ/yr;4;Final energy consumption by the ammonia sector of hydrogen from electrolysis;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Hydrogen|Fossil;EJ/yr;4;Final energy consumption by the ammonia sector of hydrogen from fossil fuels including natural gas, oil and coal;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Hydrogen|Gas;EJ/yr;4;Final energy consumption by the ammonia sector of hydrogen from fossil methane ('natural gas');;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Hydrogen|Nuclear;EJ/yr;4;Final energy consumption by the ammonia sector of hydrogen from nuclear energy (e.g. thermochemical water splitting with nuclear heat);;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Hydrogen|Oil;EJ/yr;4;Final energy consumption by the ammonia sector of hydrogen from refined crude oil;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Hydrogen|Other;EJ/yr;4;Final energy consumption by the ammonia sector of hydrogen from other sources;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Hydrogen|Solar;EJ/yr;4;Final energy consumption by the ammonia sector of hydrogen from solar energy (e.g. thermochemical water splitting with solar heat);;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Liquids;EJ/yr;3;Final energy consumption by the ammonia sector of refined liquid fuels including oil products, fuels from gas and coal, synthetic fuels and biofuels;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Liquids|Biomass;EJ/yr;4;Final energy consumption by the ammonia sector of liquid fuels from biomass;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Liquids|Coal;EJ/yr;4;Final energy consumption by the ammonia sector of liquid fuels from coal;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Liquids|Electricity;EJ/yr;4;Final energy consumption by the ammonia sector of liquid synthetic fuels from electricity, i.e., e-fuels (if hydrogen is not explicitly modeled as an intermediate product);;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Liquids|Fossil;EJ/yr;4;Final energy consumption by the ammonia sector of liquid fuels from fossil fuels including coal, natural gas and conventional/unconventional oil;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Liquids|Gas;EJ/yr;4;Final energy consumption by the ammonia sector of liquid fuels from fossil methane ('natural gas');;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Liquids|Hydrogen;EJ/yr;4;Final energy consumption by the ammonia sector of liquid fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies);;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Liquids|Oil;EJ/yr;4;Final energy consumption by the ammonia sector of liquid fuels from refined crude oil;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Liquids|Other;EJ/yr;4;Final energy consumption by the ammonia sector of sources that do not fit any other category;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Other;EJ/yr;4;Final energy consumption by the ammonia sector of other energy sources;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Solids;EJ/yr;3;Final energy consumption by the ammonia sector of solid energy carriers, including coal, briquettes, coke, and wood pellets;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Solids|Biomass;EJ/yr;4;Final energy consumption by the ammonia sector of solid biomass (e.g., commercial charcoal, wood chips, wood pellets), not including traditional bioenergy;;;;;;;;
Final Energy|Industry|Chemicals|Ammonia|Solids|Coal;EJ/yr;4;Final energy consumption by the ammonia sector of coal, lignite, and derived products (e.g., coke, briquettes);;;;;;;;
Final Energy|Industry|Chemicals|Electricity;EJ/yr;2;Final energy consumption by the chemicals sector excluding feedstocks of electricity;;;FE|Industry|Chemicals|+|Electricity;EJ/yr;;mapping taken from NAVIGATE, NAVIGATE category: energy (final);R;
Final Energy|Industry|Chemicals|Gases;EJ/yr;2;Final energy consumption by the chemicals sector excluding feedstocks of gaseous fuels including natural gas and biogas, not including hydrogen;;;FE|w/o Non-energy Use|Industry|Chemicals|Gases;EJ/yr;;mapping taken from NAVIGATE, NAVIGATE category: energy (final);R;
Final Energy|Industry|Chemicals|Gases|Biomass;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of gaseous fuels from biogenic sources, mainly biogas;;;;;;;;
Final Energy|Industry|Chemicals|Gases|Coal;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of gaseous fuels from fossil coal gasification;;;;;;;;
Final Energy|Industry|Chemicals|Gases|Electricity;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of gas from electricity i.e., 'power-to-gas' (if hydrogen is not explicitly modeled as an intermediate product);;;;;;;;
Final Energy|Industry|Chemicals|Gases|Fossil;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of gaseous fuels from fossil fuels including natural gas and coal;;;;;;;;
Final Energy|Industry|Chemicals|Gases|Gas;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of fossil methane ('natural gas');;;;;;;;
Final Energy|Industry|Chemicals|Gases|Hydrogen;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of gaseous fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies);;;;;;;;
Final Energy|Industry|Chemicals|Gases|Other;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of gaseous fuels from sources that do not fit any other category;;;;;;;;
Final Energy|Industry|Chemicals|Heat;EJ/yr;2;Final energy consumption by the chemicals sector excluding feedstocks of centralized heat;;;;;;;;
Final Energy|Industry|Chemicals|Heat|Biomass;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of centralized heat from biomass, including biogas;;;;;;;;
Final Energy|Industry|Chemicals|Heat|Coal;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of centralized heat from coal;;;;;;;;
Final Energy|Industry|Chemicals|Heat|Electricity;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of centralized heat from electricity;;;;;;;;
Final Energy|Industry|Chemicals|Heat|Fossil;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of centralized heat from fossil fuels including natural gas, oil and coal;;;;;;;;
Final Energy|Industry|Chemicals|Heat|Gas;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of centralized heat from fossil methane ('natural gas');;;;;;;;
Final Energy|Industry|Chemicals|Heat|Geothermal;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of centralized heat from geothermal energy excluding ground-source heat pumps;;;;;;;;
Final Energy|Industry|Chemicals|Heat|Hydrogen;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of centralized heat from hydrogen;;;;;;;;
Final Energy|Industry|Chemicals|Heat|Nuclear;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of centralized heat from nuclear energy;;;;;;;;
Final Energy|Industry|Chemicals|Heat|Oil;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of centralized heat from refined crude oil;;;;;;;;
Final Energy|Industry|Chemicals|Heat|Other;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of centralized heat from sources that do not fit any other category;;;;;;;;
Final Energy|Industry|Chemicals|Heat|Solar;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of centralized heat from solar energy;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals;EJ/yr;3;Final energy consumption by the high-value-chemicals sector;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Electricity;EJ/yr;3;Final energy consumption by the high-value-chemicals sector of electricity;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Gases;EJ/yr;3;Final energy consumption by the high-value-chemicals sector of gaseous fuels including natural gas and biogas, not including hydrogen;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Gases|Biomass;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of gaseous fuels from biogenic sources, mainly biogas;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Gases|Coal;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of gaseous fuels from fossil coal gasification;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Gases|Electricity;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of gas from electricity i.e., 'power-to-gas' (if hydrogen is not explicitly modeled as an intermediate product);;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Gases|Fossil;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of gaseous fuels from fossil fuels including natural gas and coal;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Gases|Gas;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of fossil methane ('natural gas');;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Gases|Hydrogen;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of gaseous fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies);;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Gases|Other;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of gaseous fuels from sources that do not fit any other category;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Heat;EJ/yr;3;Final energy consumption by the high-value-chemicals sector of centralized heat;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Heat|Biomass;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of centralized heat from biomass, including biogas;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Heat|Coal;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of centralized heat from coal;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Heat|Electricity;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of centralized heat from electricity;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Heat|Fossil;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of centralized heat from fossil fuels including natural gas, oil and coal;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Heat|Gas;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of centralized heat from fossil methane ('natural gas');;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Heat|Geothermal;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of centralized heat from geothermal energy excluding ground-source heat pumps;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Heat|Hydrogen;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of centralized heat from hydrogen;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Heat|Nuclear;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of centralized heat from nuclear energy;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Heat|Oil;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of centralized heat from refined crude oil;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Heat|Other;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of centralized heat from sources that do not fit any other category;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Heat|Solar;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of centralized heat from solar energy;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Hydrogen;EJ/yr;3;Final energy consumption by the high-value-chemicals sector of hydrogen;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Hydrogen|Biomass;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of hydrogen generated from biomass;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Hydrogen|Coal;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of hydrogen from coal;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Hydrogen|Electricity;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of hydrogen from electrolysis;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Hydrogen|Fossil;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of hydrogen from fossil fuels including natural gas, oil and coal;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Hydrogen|Gas;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of hydrogen from fossil methane ('natural gas');;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Hydrogen|Nuclear;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of hydrogen from nuclear energy (e.g. thermochemical water splitting with nuclear heat);;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Hydrogen|Oil;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of hydrogen from refined crude oil;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Hydrogen|Other;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of hydrogen from other sources;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Hydrogen|Solar;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of hydrogen from solar energy (e.g. thermochemical water splitting with solar heat);;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Liquids;EJ/yr;3;Final energy consumption by the high-value-chemicals sector of refined liquid fuels including oil products, fuels from gas and coal, synthetic fuels and biofuels;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Liquids|Biomass;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of liquid fuels from biomass;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Liquids|Coal;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of liquid fuels from coal;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Liquids|Electricity;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of liquid synthetic fuels from electricity, i.e., e-fuels (if hydrogen is not explicitly modeled as an intermediate product);;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Liquids|Fossil;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of liquid fuels from fossil fuels including coal, natural gas and conventional/unconventional oil;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Liquids|Gas;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of liquid fuels from fossil methane ('natural gas');;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Liquids|Hydrogen;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of liquid fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies);;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Liquids|Oil;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of liquid fuels from refined crude oil;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Liquids|Other;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of sources that do not fit any other category;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Other;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of other energy sources;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Solids;EJ/yr;3;Final energy consumption by the high-value-chemicals sector of solid energy carriers, including coal, briquettes, coke, and wood pellets;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Solids|Biomass;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of solid biomass (e.g., commercial charcoal, wood chips, wood pellets), not including traditional bioenergy;;;;;;;;
Final Energy|Industry|Chemicals|High-Value Chemicals|Solids|Coal;EJ/yr;4;Final energy consumption by the high-value-chemicals sector of coal, lignite, and derived products (e.g., coke, briquettes);;;;;;;;
Final Energy|Industry|Chemicals|Hydrogen;EJ/yr;2;Final energy consumption by the chemicals sector excluding feedstocks of hydrogen;;;FE|Industry|Chemicals|+|Hydrogen;EJ/yr;;mapping taken from NAVIGATE, NAVIGATE category: energy (final);R;
Final Energy|Industry|Chemicals|Hydrogen|Biomass;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of hydrogen generated from biomass;;;;;;;;
Final Energy|Industry|Chemicals|Hydrogen|Coal;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of hydrogen from coal;;;;;;;;
Final Energy|Industry|Chemicals|Hydrogen|Electricity;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of hydrogen from electrolysis;;;;;;;;
Final Energy|Industry|Chemicals|Hydrogen|Fossil;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of hydrogen from fossil fuels including natural gas, oil and coal;;;;;;;;
Final Energy|Industry|Chemicals|Hydrogen|Gas;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of hydrogen from fossil methane ('natural gas');;;;;;;;
Final Energy|Industry|Chemicals|Hydrogen|Nuclear;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of hydrogen from nuclear energy (e.g. thermochemical water splitting with nuclear heat);;;;;;;;
Final Energy|Industry|Chemicals|Hydrogen|Oil;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of hydrogen from refined crude oil;;;;;;;;
Final Energy|Industry|Chemicals|Hydrogen|Other;EJ/yr;3;Final energy consumption by the chemicals sector excluding feedstocks of hydrogen from other sources;;;;;;;;
